BluePC ,Valor_a_prazo,Fornecedor,Quantidade_em_estoque,Marca,Fabricante,Formato,Marca_do_processador,Tipo_de_processador,Velocidade_do_processador,Tipo_de_soquete_do_processador,Numero_de_processadores,Tamanho_da_memoria,Tecnologia_da_memoria,Tipo_de_Memoria,Tamanho_do_HD,Tecnologia_do_HD,Interface_do_HD,Marca_do_chipset_de_video,Descricao_da_placa_de_video,Tipo_de_conexao,Tecnologia_de_conexao,Plataforma_de_hardware,Sistema_operacional,Peso_do_produto,Dimensoes_da_embalagem,Dimensoes_do_pacote,Codigo,Codigo_das_Imagens,Descricao_final_sobre_o_produto
12.000,12.500,InnoTech,25,Amazon,BlueSoftwarePC,Laptop,AMD,Ryzen 9,3.4 GHz,Socket AM4,6,32 GB,DDR4,DDR4 SDRAM,1 TB,SSD + HDD,NVMe + SATA,NVIDIA,NVIDIA RTX 3060,Wi-Fi 6,Bluetooth 5.0,Laptop,Windows 10,7.2 Kilograms,55 x 45 x 13 cm,57 x 47 x 15 centimetros,ARD123,IMG0d5f7a,"PC GAMER AMD RYZEN 5 5600G 16GB (RADEON VEGA 7 INTEGRADO) SSD 480GB, 500W 80 PLUS, NEOLOGIC – NLI84302"
12.000,12.500,InnoTech,25,Amazon,RedSoftwarePC,Laptop,AMD,Ryzen 7,3.9 GHz,LGA 1151,8,32 GB,DDR4,DDR4 SDRAM,2 TB,SSD + HDD,NVMe + SATA,AMD,Radeon RX 6700 XT,Wi-Fi 6,Bluetooth 5.0,Laptop,Windows 10,7.2 Kilograms,55 x 45 x 13 cm,57 x 47 x 15 centimetros,ARD123,IMG29c6d1,"PC GAMER AMD RYZEN 5 5600G 16GB (RADEON VEGA 7 INTEGRADO) SSD 480GB, 500W 80 PLUS, NEOLOGIC – NLI84302"
12.000,12.500,InnoTech,25,Facebook,GreenSoftwarePC,Laptop,Intel,Core i5,3.9 GHz,LGA 1151,6,16 GB,DDR5,DDR4 SDRAM,1 TB,SSD + HDD,NVMe,NVIDIA,NVIDIA RTX 3060,Wi-Fi 6,Bluetooth 5.0,Laptop,Windows 10,7.2 Kilograms,55 x 45 x 13 cm,57 x 47 x 15 centimetros,ARD123,IMG8bfc3e,"PC Gamer Completo Intel Core i7 16GB SSD 1TB Radeon RX 580 8GB 256 Bits 600W Monitor 21,5"" Kit Gamer Windows 10 Pro"
12.000,12.500,InnoTech,25,Facebook,BluePC,Laptop,AMD,Ryzen 7,3.4 GHz,Socket AM4,8,32 GB,DDR4,DDR4 SDRAM,512 GB,SSD,NVMe + SATA,NVIDIA,NVIDIA RTX 3060,Wi-Fi 6,Bluetooth 5.0,Laptop,Windows 10,7.2 Kilograms,55 x 45 x 13 cm,57 x 47 x 15 centimetros,ARD123,IMG72049c,"O laptop MegaForce da GigaMegaTech e alimentado por um processador AMD Ryzen 7 de 8 nucleos e uma placa de video AMD Radeon RX 6700 XT. Com 32 GB de memoria DDR4 e um SSD de 1 TB, oferece um equilibrio solido entre desempenho e preco."
12.000,12.500,InnoTech,25,AMD ,?Chip7 Informática,Laptop,Intel,Core i5,3.9 GHz,LGA 1151,8,32 GB,DDR5,DDR4 SDRAM,1 TB,SSD + HDD,NVMe,AMD,Radeon RX 6700 XT,Wi-Fi 6,Bluetooth 5.0,Laptop,Windows 10,7.2 Kilograms,55 x 45 x 13 cm,57 x 47 x 15 centimetros,ARD123,IMG5e6a3b,"PC GAMER AMD RYZEN 5 5600G 16GB (RADEON VEGA 7 INTEGRADO) SSD 480GB, 500W 80 PLUS, NEOLOGIC – NLI84302"
12.000,12.500,InnoTech,25,AMD ,GreenSoftwarePC,Laptop,Intel,Core i5,4.2 GHz,LGA 1151,6,16 GB,DDR4,DDR4 SDRAM,2 TB,SSD,NVMe + SATA,NVIDIA,NVIDIA RTX 3060,Wi-Fi 6,Bluetooth 5.0,Laptop,Windows 10,7.2 Kilograms,55 x 45 x 13 cm,57 x 47 x 15 centimetros,ARD123,IMG9c7b2a,"O laptop MegaForce da GigaMegaTech e alimentado por um processador AMD Ryzen 7 de 8 nucleos e uma placa de video AMD Radeon RX 6700 XT. Com 32 GB de memoria DDR4 e um SSD de 1 TB, oferece um equilibrio solido entre desempenho e preco."
12.000,12.500,InnoTech,25,AMD ,?Chip7 Informática,Laptop,AMD,Ryzen 7,3.9 GHz,Socket AM4,8,32 GB,DDR5,DDR4 SDRAM,1 TB,SSD + HDD,NVMe + SATA,AMD,Radeon RX 6700 XT,Wi-Fi 6,Bluetooth 5.0,Laptop,Windows 10,7.2 Kilograms,55 x 45 x 13 cm,57 x 47 x 15 centimetros,ARD123,IMG35d1ea,"PC GAMER Completo Mancer, Intel Core i5, RX 550, 16GB RAM, SSD 120GB, HD 500GB + Combo Periférico Gamer + Monitor 21"""
12.000,12.500,InnoTech,25,AMD ,GreenSoftwarePC,Laptop,AMD,Ryzen 9,3.9 GHz,LGA 1151,6,32 GB,DDR4,DDR4 SDRAM,2 TB,SSD + HDD,NVMe + SATA,NVIDIA,NVIDIA RTX 3060,Wi-Fi 6,Bluetooth 5.0,Laptop,Windows 10,7.2 Kilograms,55 x 45 x 13 cm,57 x 47 x 15 centimetros,ARD123,IMGf826c3,"PC GAMER AMD RYZEN 5 5600G 16GB (RADEON VEGA 7 INTEGRADO) SSD 480GB, 500W 80 PLUS, NEOLOGIC – NLI84302"
12.000,12.500,InnoTech,25,AMD ,?Chip7 Informática,Laptop,AMD,Ryzen 7,3.4 GHz,Socket AM4,8,32 GB,DDR4,DDR4 SDRAM,1 TB,SSD,NVMe,AMD,Radeon RX 6700 XT,Wi-Fi 6,Bluetooth 5.0,Laptop,Windows 10,7.2 Kilograms,55 x 45 x 13 cm,57 x 47 x 15 centimetros,ARD123,IMGd7a2c4,"O laptop MegaForce da GigaMegaTech e alimentado por um processador AMD Ryzen 7 de 8 nucleos e uma placa de video AMD Radeon RX 6700 XT. Com 32 GB de memoria DDR4 e um SSD de 1 TB, oferece um equilibrio solido entre desempenho e preco."
12.000,12.500,InnoTech,25,AMD ,?ITX Gamer,Laptop,AMD,Ryzen 9,4.2 GHz,LGA 1151,8,16 GB,DDR5,DDR4 SDRAM,2 TB,SSD + HDD,NVMe + SATA,NVIDIA,NVIDIA RTX 3060,Wi-Fi 6,Bluetooth 5.0,Laptop,Windows 10,7.2 Kilograms,55 x 45 x 13 cm,57 x 47 x 15 centimetros,ARD123,IMG5f9ea8,"PC GAMER AMD RYZEN 5 5600G 16GB (RADEON VEGA 7 INTEGRADO) SSD 480GB, 500W 80 PLUS, NEOLOGIC – NLI84302"
12.000,12.500,InnoTech,25,AMD ,GreenSoftwarePC,Laptop,Intel,Core i5,3.9 GHz,LGA 1151,6,32 GB,DDR4,DDR4 SDRAM,512 GB,SSD + HDD,NVMe,Intel,Radeon RX 6700 XT,Wi-Fi 6,Bluetooth 5.0,Laptop,Windows 10,7.2 Kilograms,55 x 45 x 13 cm,57 x 47 x 15 centimetros,ARD123,IMG7b3dc8,"O laptop MegaForce da GigaMegaTech e alimentado por um processador AMD Ryzen 7 de 8 nucleos e uma placa de video AMD Radeon RX 6700 XT. Com 32 GB de memoria DDR4 e um SSD de 1 TB, oferece um equilibrio solido entre desempenho e preco."
12.000,12.500,InnoTech,25,AMD ,?ITX Gamer,Laptop,AMD,Ryzen 7,4.2 GHz,Socket AM4,8,16 GB,DDR5,DDR4 SDRAM,2 TB,SSD,NVMe,NVIDIA,NVIDIA RTX 3060,Wi-Fi 6,Bluetooth 5.0,Laptop,Windows 10,7.2 Kilograms,55 x 45 x 13 cm,57 x 47 x 15 centimetros,ARD123,IMGc6a4e9,"O laptop MegaForce da GigaMegaTech e alimentado por um processador AMD Ryzen 7 de 8 nucleos e uma placa de video AMD Radeon RX 6700 XT. Com 32 GB de memoria DDR4 e um SSD de 1 TB, oferece um equilibrio solido entre desempenho e preco."
12.000,12.500,InnoTech,25,AMD ,GreenSoftwarePC,Laptop,AMD,Ryzen 5,3.4 GHz,Socket AM4,8,32 GB,DDR5,DDR4 SDRAM,1 TB,SSD + HDD,NVMe + SATA,AMD,Radeon RX 6700 XT,Wi-Fi 6,Bluetooth 5.0,Laptop,Windows 10,7.2 Kilograms,55 x 45 x 13 cm,57 x 47 x 15 centimetros,ARD123,IMGaf1d8c,"PC GAMER AMD RYZEN 5 5600G 16GB (RADEON VEGA 7 INTEGRADO) SSD 480GB, 500W 80 PLUS, NEOLOGIC – NLI84302"
12.000,12.500,InnoTech,25,AMD ,?ITX Gamer,Laptop,AMD,Ryzen 7,3.9 GHz,LGA 1151,8,16 GB,DDR4,DDR4 SDRAM,1 TB,SSD,NVMe + SATA,AMD,Radeon RX 6700 XT,Wi-Fi 6,Bluetooth 5.0,Laptop,Windows 10,7.2 Kilograms,55 x 45 x 13 cm,57 x 47 x 15 centimetros,ARD123,IMGbd9e0c,"O laptop MegaForce da GigaMegaTech e alimentado por um processador AMD Ryzen 7 de 8 nucleos e uma placa de video AMD Radeon RX 6700 XT. Com 32 GB de memoria DDR4 e um SSD de 1 TB, oferece um equilibrio solido entre desempenho e preco."
